Checkpoint 1: 1200; Time: 369.18954849243164 s
Checkpoint 2: 2400; Time: 660.5695171356201 s
Checkpoint 3: 3600; Time: 910.2108833789825 s
Checkpoint 4: 4800; Time: 1162.1436660289764 s
Checkpoint 5: 6000; Time: 1475.4500286579132 s
Checkpoint 6: 7200; Time: 1729.4094502925873 s
Checkpoint 7: 8400; Time: 1975.7813789844513 s
Checkpoint 8: 9600; Time: 2228.0058903694153 s
Checkpoint 9: 10800; Time: 2481.4970891475677 s
Checkpoint 10: 12000; Time: 2725.314174890518 s
Checkpoint 11: 13200; Time: 2969.893515586853 s
Checkpoint 12: 14400; Time: 3212.9633359909058 s
Checkpoint 13: 15600; Time: 3455.8237569332123 s
Checkpoint 14: 16800; Time: 3698.941349506378 s
Checkpoint 15: 18000; Time: 3941.8651711940765 s
Checkpoint 16: 19200; Time: 4184.403709888458 s
Checkpoint 17: 20400; Time: 4431.283700466156 s
Checkpoint 18: 21600; Time: 4675.4280297756195 s
Checkpoint 19: 22800; Time: 4918.944616556168 s
Checkpoint 20: 24000; Time: 5161.943083047867 s
