Checkpoint 1: 1500; Time: 113.01010298728943 s
Checkpoint 2: 3000; Time: 234.56190013885498 s
Checkpoint 3: 4500; Time: 387.09794902801514 s
Checkpoint 4: 6000; Time: 530.8756675720215 s
Checkpoint 5: 7500; Time: 669.4129862785339 s
Checkpoint 6: 9000; Time: 817.268417596817 s
Checkpoint 7: 10500; Time: 966.681812286377 s
Checkpoint 8: 12000; Time: 1082.67134141922 s
Checkpoint 9: 13500; Time: 1208.0949280261993 s
Checkpoint 10: 15000; Time: 1354.1608576774597 s
Checkpoint 11: 16500; Time: 1497.1794409751892 s
Checkpoint 12: 18000; Time: 1612.5776245594025 s
Checkpoint 13: 19500; Time: 1691.192837715149 s
Checkpoint 14: 21000; Time: 1770.0823919773102 s
Checkpoint 15: 22500; Time: 1848.477430343628 s
Checkpoint 16: 24000; Time: 1928.9384441375732 s
Checkpoint 17: 25500; Time: 2008.8670375347137 s
Checkpoint 18: 27000; Time: 2086.9949555397034 s
Checkpoint 19: 28500; Time: 2167.3926179409027 s
Checkpoint 20: 30000; Time: 2249.0701727867126 s
