Checkpoint 1: 1200; Time: 377.3118019104004 s
Checkpoint 2: 2400; Time: 624.8907260894775 s
Checkpoint 3: 3600; Time: 869.8983774185181 s
Checkpoint 4: 4800; Time: 1116.087084531784 s
Checkpoint 5: 6000; Time: 1362.1225371360779 s
Checkpoint 6: 7200; Time: 1607.877900838852 s
Checkpoint 7: 8400; Time: 1853.5927765369415 s
Checkpoint 8: 9600; Time: 2099.2434215545654 s
Checkpoint 9: 10800; Time: 2344.796424150467 s
Checkpoint 10: 12000; Time: 2589.687819957733 s
Checkpoint 11: 13200; Time: 2835.5505981445312 s
Checkpoint 12: 14400; Time: 3080.4711484909058 s
Checkpoint 13: 15600; Time: 3325.7424023151398 s
Checkpoint 14: 16800; Time: 3570.8555674552917 s
Checkpoint 15: 18000; Time: 3816.1647753715515 s
Checkpoint 16: 19200; Time: 4071.3806331157684 s
Checkpoint 17: 20400; Time: 4328.538069963455 s
Checkpoint 18: 21600; Time: 4575.104755163193 s
Checkpoint 19: 22800; Time: 4820.789075613022 s
Checkpoint 20: 24000; Time: 5066.2478358745575 s
